Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str),Baren (int)
10,1,2025-08-28 17:56:52,"[[-0.34152528054600195,-0.4739784431884531,-0.5157747608984714,-0.13717149510362078,-0.15655121364762786,-0.40139641914107116,-0.28851530257079305,-0.5030370214431922,-0.47428096949028076,-0.04127871507477518],[-0.4739784431884531,-0.31004437229573395,-0.22827516317834018,-0.10949375202516057,-0.017561386033109763,-0.12420676012518564,0.05330688738402006,-0.20830547096440155,-0.32269331336709967,0.30933539642865454],[-0.5157747608984714,-0.22827516317834018,-0.0919951250017126,-0.09370243823324041,0.040414184496853786,0.006324070606537786,0.20501146032844594,-0.06996060089567435,-0.24382946044768802,0.46442977144058495],[-0.13717149510362078,-0.10949375202516057,-0.09370243823324041,-0.037147566347814964,-0.01730150536273529,-0.06014751065800715,-0.009113266388978102,-0.08830563565084826,-0.11277025772806942,0.074253597637435],[-0.15655121364762786,-0.017561386033109763,0.040414184496853786,-0.01730150536273529,0.040256671624485006,0.06575540050158057,0.12500438366803837,0.047917935315276695,-0.02756634500455593,0.1935236367856567],[-0.40139641914107116,-0.12420676012518564,0.006324070606537786,-0.06014751065800715,0.06575540050158057,0.06932804866761673,0.2310937790965612,0.02347868056989119,-0.13586630105027692,0.4134981888789167],[-0.28851530257079305,0.05330688738402006,0.20501146032844594,-0.009113266388978102,0.12500438366803837,0.2310937790965612,0.35894265473869136,0.218194506835218,0.04142566433055164,0.46238760366517107],[-0.5030370214431922,-0.20830547096440155,-0.06996060089567435,-0.08830563565084826,0.047917935315276695,0.02347868056989119,0.218194506835218,-0.04834905619887221,-0.2242501195752063,0.46718370658244746],[-0.47428096949028076,-0.32269331336709967,-0.24382946044768802,-0.11277025772806942,-0.02756634500455593,-0.13586630105027692,0.04142566433055164,-0.2242501195752063,-0.3335947366244101,0.3083379551438019],[-0.04127871507477518,0.30933539642865454,0.46442977144058495,0.074253597637435,0.1935236367856567,0.4134981888789167,0.46238760366517107,0.46718370658244746,0.3083379551438019,0.39387053256305055]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.6803930183404185,"[1.,1.,1.,1.,1.,1.,-1.,1.,1.,-1.]",-1,0.4878950119018554,MA-ALT,,,-4.6803930183404185,"[1,1,1,1,1,1,-1,1,1,-1]",3,3,3,-1.0,1000,52.62119817733765,,-1
11,1,2025-08-28 17:57:43,"[[0.05907003165883329,0.07531440080652482,0.10802201670168818,-0.05945196432685801,0.025349237860261456,0.08855784511499867,0.22826322071118946,0.029148040340316046,0.2019972596130032,0.01908757848930476],[0.07531440080652482,0.09173096313623279,0.1664264815140235,-0.06192932467611929,0.03205804389903713,0.10401054189195658,0.329457947170124,0.04400315659944258,0.29612969795526844,0.029084970482446515],[0.10802201670168818,0.1664264815140235,-0.2126993986403512,-0.30247389058837604,0.026829033004023745,0.27926457724615456,-0.14802067015816284,-0.03968548709575928,-0.1684446628222976,-0.0518348297536767],[-0.05945196432685801,-0.06192932467611929,-0.30247389058837604,-0.03067628168345222,-0.03385242163703012,-0.03428682590434659,-0.4982236817838798,-0.07386276201052093,-0.4595913334726336,-0.05963985323873296],[0.025349237860261456,0.03205804389903713,0.026829033004023745,-0.03385242163703012,0.009393237857092524,0.04265680062464485,0.06883776605996349,0.007903691472867248,0.059969689792035166,0.0034158280927947824],[0.08855784511499867,0.10401054189195658,0.27926457724615456,-0.03428682590434659,0.04265680062464485,0.09948810664799704,0.5049101851115235,0.07074004580976265,0.45865163891372573,0.05280099192588536],[0.22826322071118946,0.329457947170124,-0.14802067015816284,-0.4982236817838798,0.06883776605996349,0.5049101851115235,0.10554021366905944,-0.015024450325002246,0.04455473370005297,-0.047501539259646834],[0.029148040340316046,0.04400315659944258,-0.03968548709575928,-0.07386276201052093,0.007903691472867248,0.07074004580976265,-0.015024450325002246,-0.006779645262469948,-0.021525106626368622,-0.010474478720682377],[0.2019972596130032,0.29612969795526844,-0.1684446628222976,-0.4595913334726336,0.059969689792035166,0.45865163891372573,0.04455473370005297,-0.021525106626368622,-0.008317999843656654,-0.04902502741093823],[0.01908757848930476,0.029084970482446515,-0.0518348297536767,-0.05963985323873296,0.0034158280927947824,0.05280099192588536,-0.047501539259646834,-0.010474478720682377,-0.04902502741093823,-0.012926684190655194]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.3228078511525423,"[-1.,-1.,1.,1.,-1.,-1.,1.,1.,1.,1.]",-1,0.2706265449523926,MA-ALT,,,-2.3228078511525423,"[-1,-1,1,1,-1,-1,1,1,1,1]",12,12,11,-1.0,1000,50.0289466381073,,-1
12,1,2025-08-28 17:57:55,"[[-0.02576553904916234,-0.038710560094747,-0.0879876640763486,0.00845808895728866,-0.010831587787155131,-0.10593474304627874,-0.03496467782487733,-0.059021203256829885,-0.07186515747146895,-0.0078179893152572],[-0.038710560094747,0.1774736565718704,0.18564687226864304,0.28840131543643355,0.13415306227493454,0.22346722463054958,0.04747475608442385,-0.2481536280760547,-0.2480031059104041,0.29356328179766833],[-0.0879876640763486,0.18564687226864304,0.1491200095382891,0.385129384695271,0.18496116241173902,0.14705822543859037,0.022117779683210718,-0.40874891297897015,-0.4093661508118129,0.3820757468677516],[0.00845808895728866,0.28840131543643355,0.385129384695271,0.25923350448943117,0.18462109828175244,0.5131867848730054,0.15182959738534485,-0.06718141227960457,0.02485470056764992,0.28726895407356856],[-0.010831587787155131,0.13415306227493454,0.18496116241173902,0.18462109828175244,0.11548211278311551,0.14891889900888183,0.044607952800674,-0.17847955666606205,-0.18610902684185518,0.23555062278526348],[-0.10593474304627874,0.22346722463054958,0.14705822543859037,0.5131867848730054,0.14891889900888183,0.2514468032068763,0.010867124171544496,-0.46573822590347685,-0.49728978406815744,0.4231393815775875],[-0.03496467782487733,0.04747475608442385,0.022117779683210718,0.15182959738534485,0.044607952800674,0.010867124171544496,-0.014476296629009008,-0.18312618413020854,-0.21591768620136592,0.14251947618502483],[-0.059021203256829885,-0.2481536280760547,-0.40874891297897015,-0.06718141227960457,-0.17847955666606205,-0.46573822590347685,-0.18312618413020854,-0.09847940882047197,-0.22458227468415196,-0.18701788752684323],[-0.07186515747146895,-0.2480031059104041,-0.4093661508118129,0.02485470056764992,-0.18610902684185518,-0.49728978406815744,-0.21591768620136592,-0.22458227468415196,-0.4194969064638963,-0.10721345534577931],[-0.0078179893152572,0.29356328179766833,0.3820757468677516,0.28726895407356856,0.23555062278526348,0.4231393815775875,0.14251947618502483,-0.18701788752684323,-0.10721345534577931,0.3756795551851344]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.962332231462105,"[1.,-1.,1.,-1.,-1.,1.,1.,1.,1.,-1.]",-1,0.2663936614990234,MA-ALT,,,-2.962332231462105,"[1,-1,1,-1,-1,1,1,1,1,-1]",3,3,3,-1.0,1000,11.95356035232544,,-1
13,1,2025-08-28 17:50:01,"[[0.003389155012866731,0.06462850847296163,0.031189580570249422,-0.016049486581709287,0.04473427657780724,0.019599286624260064,0.0336198994806398,0.025629254796605015,0.018474076531644047,0.01993235711715025],[0.06462850847296163,0.9480448144031457,0.29910593775498306,-0.42861686892479706,0.6442355910770989,0.20298660713508831,0.51249441710333,0.2763076833063565,0.34765675551917297,0.2808178978233533],[0.031189580570249422,0.29910593775498306,-0.08956009064943034,-0.38709159472174076,0.22607901981903733,0.10242975969476976,0.19025477406224095,-0.06595636045579334,0.16089593592018825,0.07134394821716641],[-0.016049486581709287,-0.42861686892479706,-0.38709159472174076,-0.1565482301358287,-0.25455091152971865,-0.017148573318522743,-0.18938926019363933,-0.34012998864994737,-0.09148488844705542,-0.15275197896504109],[0.04473427657780724,0.6442355910770989,0.22607901981903733,-0.25455091152971865,0.4310854959187992,0.1151103769882772,0.340353240352532,0.2119381368188945,0.23221094649687918,0.19608279630130349],[0.019599286624260064,0.20298660713508831,0.10242975969476976,-0.017148573318522743,0.1151103769882772,0.06783130087196029,0.12880754738221334,0.10218627026518046,0.055669204841421197,0.06217929907726763],[0.0336198994806398,0.51249441710333,0.19025477406224095,-0.18938926019363933,0.340353240352532,0.12880754738221334,0.2809560520875347,0.17151466598557652,0.17557773255120987,0.15281120196291414],[0.025629254796605015,0.2763076833063565,-0.06595636045579334,-0.34012998864994737,0.2119381368188945,0.10218627026518046,0.17151466598557652,-0.05197270059329169,0.14164079920217132,0.06704713427935599],[0.018474076531644047,0.34765675551917297,0.16089593592018825,-0.09148488844705542,0.23221094649687918,0.055669204841421197,0.17557773255120987,0.14164079920217132,0.11680979855114088,0.10814835746156459],[0.01993235711715025,0.2808178978233533,0.07134394821716641,-0.15275197896504109,0.19608279630130349,0.06217929907726763,0.15281120196291414,0.06704713427935599,0.10814835746156459,0.08198293763038955]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.322853929236804,"[-1.,-1.,1.,1.,-1.,-1.,-1.,1.,-1.,-1.]",-1,0.4826550483703613,MA-ALT,,,-2.322853929236804,"[-1,-1,1,1,-1,-1,-1,1,-1,-1]",2,2,2,-1.0,1000,14.188549757003784,,-1
14,1,2025-08-28 17:50:31,"[[0.1586608131672327,0.1654477952076721,0.0012822334254291787,0.054067912386728326,0.014644924295857883,0.34583027363376573,0.017317067858770546,-0.09993089272666422,-0.10112149480834659,-0.014735122897702013],[0.1654477952076721,0.05782477685856068,-0.10125138207221245,-0.04727255066130537,-0.04999305770659349,0.2610647094974772,-0.28887501716896447,-0.20559160311594996,-0.22099193360843283,-0.2515473519511399],[0.0012822334254291787,-0.10125138207221245,-0.09134714979990273,-0.09052652948891471,-0.05750153111782376,-0.08604796722111543,-0.27787272772570804,-0.09349152713243368,-0.10358113391656006,-0.21545569018787242],[0.054067912386728326,-0.04727255066130537,-0.09052652948891471,-0.07261171121141202,-0.05502724885229228,0.028182446923060517,-0.2703598760177519,-0.1284924951064319,-0.1395336847929473,-0.22453558142800406],[0.014644924295857883,-0.04999305770659349,-0.05750153111782376,-0.05502724885229228,-0.03698493589588454,-0.024658228776005695,-0.17284591956159456,-0.06771099519534107,-0.0769414225440048,-0.13762527291179016],[0.34583027363376573,0.2610647094974772,-0.08604796722111543,0.028182446923060517,-0.024658228776005695,0.6634743243164437,-0.22400920575897598,-0.30261045991930435,-0.31344530314519975,-0.23146587482016107],[0.017317067858770546,-0.28887501716896447,-0.27787272772570804,-0.2703598760177519,-0.17284591956159456,-0.22400920575897598,-0.8362048379320169,-0.2972941797477934,-0.3322407428056919,-0.657914118037356],[-0.09993089272666422,-0.20559160311594996,-0.09349152713243368,-0.1284924951064319,-0.06771099519534107,-0.30261045991930435,-0.2972941797477934,-0.03689394011466209,-0.050925988372266154,-0.21772110187040059],[-0.10112149480834659,-0.22099193360843283,-0.10358113391656006,-0.1395336847929473,-0.0769414225440048,-0.31344530314519975,-0.3322407428056919,-0.050925988372266154,-0.0646361626657514,-0.24780555554005793],[-0.014735122897702013,-0.2515473519511399,-0.21545569018787242,-0.22453558142800406,-0.13762527291179016,-0.23146587482016107,-0.657914118037356,-0.21772110187040059,-0.24780555554005793,-0.513551955072101]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.848535851658262,"[-1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.4883296489715576,MA-ALT,,,-4.848535851658262,"[-1,1,1,1,1,1,1,1,1,1]",5,5,5,-1.0,1000,29.134950637817383,,-1
15,1,2025-08-28 17:50:47,"[[-0.2752494512333774,-0.2280165027634405,-0.2451858133059683,0.21867369000419118,-0.5956741445230769,-0.20300059390578523,-0.5146025154640215,-0.3551448684695049,0.17322435352371063,-0.1788239125138345],[-0.2280165027634405,-0.14460056949672329,-0.15312045031792973,0.16733718602164882,-0.49081285366886285,-0.19257648509378275,-0.4430009438879103,-0.2942688525666125,0.14950242997703944,-0.1518892489330333],[-0.2451858133059683,-0.15312045031792973,-0.1747460954228169,0.17519583087412674,-0.5990647997335351,-0.21613238062769002,-0.5326327972081254,-0.3556753615964572,0.1804024781677129,-0.1758969367161945],[0.21867369000419118,0.16733718602164882,0.17519583087412674,0.48382936374302155,-0.22387465864023953,0.07502142757232833,-0.29340115587488513,-0.01592374768514629,0.39668738683720456,0.023676197432113813],[-0.5956741445230769,-0.49081285366886285,-0.5990647997335351,-0.22387465864023953,-0.9245858942656706,-0.3766741152222841,-0.6639787910917416,-0.6587725834683046,-0.0827614179546495,-0.33010028482079],[-0.20300059390578523,-0.19257648509378275,-0.21613238062769002,0.07502142757232833,-0.3766741152222841,-0.12632595109477088,-0.29995515322454075,-0.238720768481817,0.058891604515246415,-0.11872369599765067],[-0.5146025154640215,-0.4430009438879103,-0.5326327972081254,-0.29340115587488513,-0.6639787910917416,-0.29995515322454075,-0.43548836059528706,-0.5077948210023786,-0.1677260143283961,-0.25862969582374035],[-0.3551448684695049,-0.2942688525666125,-0.3556753615964572,-0.01592374768514629,-0.6587725834683046,-0.238720768481817,-0.5077948210023786,-0.4364464839348354,0.0413625675444553,-0.21421213802936728],[0.17322435352371063,0.14950242997703944,0.1804024781677129,0.39668738683720456,-0.0827614179546495,0.058891604515246415,-0.1677260143283961,0.0413625675444553,0.2979364625841388,0.03532455202794739],[-0.1788239125138345,-0.1518892489330333,-0.1758969367161945,0.023676197432113813,-0.33010028482079,-0.11872369599765067,-0.25862969582374035,-0.21421213802936728,0.03532455202794739,-0.106695563555737]]",10,Random,10,-1.0,-1.0,-1.0,-,-8.274190357828981,"[1.,1.,1.,-1.,1.,1.,1.,1.,-1.,1.]",-1,0.4804530143737793,MA-ALT,,,-8.274190357828981,"[1,1,1,-1,1,1,1,1,-1,1]",4,2,2,-1.0,1000,16.458926916122437,,-1
16,1,2025-08-28 17:51:29,"[[-0.0393045806701459,-0.13151314526226404,-0.08598152440136843,-0.09245122334350646,-0.19406151340454364,-0.06031980286751876,-0.09885972397273463,-0.03564275157567952,-0.10452181778883914,-0.17257654683874027],[-0.13151314526226404,-0.37234502969083366,-0.23250964585665923,-0.23199394284393327,-0.42762633480040035,-0.19885356445989422,-0.3406761484132699,-0.2060939413816431,-0.23103237991780104,-0.44822516186970013],[-0.08598152440136843,-0.23250964585665923,-0.14356614160164,-0.13965933629914704,-0.24408277210762266,-0.1288561090191972,-0.22450486929109376,-0.14832522087666794,-0.13248872614989743,-0.27225728396681786],[-0.09245122334350646,-0.23199394284393327,-0.13965933629914704,-0.13023520479814582,-0.2034079235228662,-0.1372024030103998,-0.24519489751900453,-0.18317513282604597,-0.11113110739785767,-0.2585107558500541],[-0.19406151340454364,-0.42762633480040035,-0.24408277210762266,-0.2034079235228662,-0.21930151332785427,-0.28631971155580604,-0.5268490287099225,-0.4710306384597753,-0.12255855949931549,-0.42464878027762676],[-0.06031980286751876,-0.19885356445989422,-0.1288561090191972,-0.1372024030103998,-0.28631971155580604,-0.09355998750537607,-0.15146535065788852,-0.05972318501980911,-0.15372216898117294,-0.2584010682222026],[-0.09885972397273463,-0.3406761484132699,-0.22450486929109376,-0.24519489751900453,-0.5268490287099225,-0.15146535065788852,-0.24661498834458545,-0.07252191215583503,-0.2834627680836195,-0.45522475007747415],[-0.03564275157567952,-0.2060939413816431,-0.14832522087666794,-0.18317513282604597,-0.4710306384597753,-0.05972318501980911,-0.07252191215583503,0.08749815344042201,-0.25113830817283034,-0.3259016267972846],[-0.10452181778883914,-0.23103237991780104,-0.13248872614989743,-0.11113110739785767,-0.12255855949931549,-0.15372216898117294,-0.2834627680836195,-0.25113830817283034,-0.06852919404614703,-0.23088669113607566],[-0.17257654683874027,-0.44822516186970013,-0.27225728396681786,-0.2585107558500541,-0.42464878027762676,-0.2584010682222026,-0.45522475007747415,-0.3259016267972846,-0.23088669113607566,-0.5096960559828352]]",10,Random,10,-1.0,-1.0,-1.0,-,-7.780606326613141,"[1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.4847531318664551,MA-ALT,,,-7.780606326613141,"[1,1,1,1,1,1,1,1,1,1]",6,6,6,-1.0,1000,41.1813588142395,,-1
17,1,2025-08-28 17:51:44,"[[0.01029615682360688,0.09676816958207872,0.002441900885157158,0.06172496132057483,0.09893214229582055,0.03213902773527041,0.03390288321482546,0.18430864509315653,0.12653684141873395,0.03357510657536446],[0.09676816958207872,0.13371876679536623,-0.25892827309633015,-0.01059845730621925,0.10256395976225821,-0.1652281416017723,-0.006666865531377821,0.17665224671804083,0.11171199659544102,-0.018253025937646855],[0.002441900885157158,-0.25892827309633015,-0.05919644625524242,-0.1662138070014097,-0.2877985396272217,-0.11719524315457196,-0.10166416625025747,-0.49804545023465496,-0.3331711644992328,-0.10989972515012253],[0.06172496132057483,-0.01059845730621925,-0.1662138070014097,-0.06136653681344056,-0.05483467411184214,-0.11833125868098626,-0.03653221408745683,-0.07510062272045523,-0.05147388283778734,-0.052223546580841315],[0.09893214229582055,0.10256395976225821,-0.2877985396272217,-0.05483467411184214,0.053157430082967264,-0.1848849237026169,-0.02201000034426167,0.08483145016848617,0.04313988460609665,-0.03912797675859713],[0.03213902773527041,-0.1652281416017723,-0.11719524315457196,-0.11833125868098626,-0.1848849237026169,-0.14541909218866278,-0.08233729915842015,-0.31816415669358344,-0.20928984778926443,-0.08897849961997527],[0.03390288321482546,-0.006666865531377821,-0.10166416625025747,-0.03653221408745683,-0.02201000034426167,-0.08233729915842015,-0.02303219042006697,-0.0387003303192073,-0.02773229885300478,-0.028220086956597563],[0.18430864509315653,0.17665224671804083,-0.49804545023465496,-0.07510062272045523,0.08483145016848617,-0.31816415669358344,-0.0387003303192073,0.16538802358288052,0.09785452389375221,-0.07156023458049157],[0.12653684141873395,0.11171199659544102,-0.3331711644992328,-0.05147388283778734,0.04313988460609665,-0.20928984778926443,-0.02773229885300478,0.09785452389375221,0.05901375466634682,-0.052406271293570776],[0.03357510657536446,-0.018253025937646855,-0.10989972515012253,-0.052223546580841315,-0.03912797675859713,-0.08897849961997527,-0.028220086956597563,-0.07156023458049157,-0.052406271293570776,-0.03490408693497296]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.4049292451591304,"[-1.,1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.4741163253784179,MA-ALT,,,-2.4049292451591304,"[-1,1,1,1,1,1,1,1,1,1]",3,3,3,-1.0,1000,15.279409170150757,,-1
18,1,2025-08-28 17:53:05,"[[-0.12178493711441805,-0.038101816193965014,-0.2644199438200015,0.05042729319340217,-0.20901822334527498,0.1862391561259336,0.09019213331088662,-0.03329801271381662,0.11832307959431056,0.08180519930182989],[-0.038101816193965014,0.01899097512851078,-0.2102625228440576,0.16158897890100848,-0.07177782709074436,0.17012659063367425,0.07620105152165839,0.08152937745815665,0.1797429862148691,0.11058058087976108],[-0.2644199438200015,-0.2102625228440576,-0.03646619082583826,-0.48890318187730153,-0.4163780247359933,-0.06515897294218242,-0.008479182946948535,-0.44535429267206766,-0.335015375110178,-0.18007790086710315],[0.05042729319340217,0.16158897890100848,-0.48890318187730153,0.6627937205776027,0.04798998066780047,0.4531957367800026,0.1928794983313237,0.4294509120649547,0.6110665360154208,0.362068240142472],[-0.20901822334527498,-0.07177782709074436,-0.4163780247359933,0.04798998066780047,-0.35963039562418014,0.28936322391656644,0.1437287308517681,-0.08969200183055294,0.1566591034677589,0.1127988018818884],[0.1862391561259336,0.17012659063367425,-0.06515897294218242,0.4531957367800026,0.28936322391656644,0.12901775190600445,0.04053580817250839,0.3789702647049565,0.33854772065625727,0.18763756589005406],[0.09019213331088662,0.07620105152165839,-0.008479182946948535,0.1928794983313237,0.1437287308517681,0.04053580817250839,0.00942410991601423,0.1709419067235324,0.14080929187981348,0.07632756561798451],[-0.03329801271381662,0.08152937745815665,-0.44535429267206766,0.4294509120649547,-0.08969200183055294,0.3789702647049565,0.1709419067235324,0.23734449497249027,0.4333893057453313,0.2667381888158773],[0.11832307959431056,0.1797429862148691,-0.335015375110178,0.6110665360154208,0.1566591034677589,0.33854772065625727,0.14080929187981348,0.4333893057453313,0.5293924034969518,0.3112095824970037],[0.08180519930182989,0.11058058087976108,-0.18007790086710315,0.362068240142472,0.1127988018818884,0.18763756589005406,0.07632756561798451,0.2667381888158773,0.3112095824970037,0.18192350245958694]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.0390794514853607,"[1.,1.,1.,-1.,1.,-1.,-1.,1.,-1.,-1.]",-1,0.4855368137359619,MA-ALT,,,-3.0390794514853607,"[1,1,1,-1,1,-1,-1,1,-1,-1]",13,13,13,-1.0,1000,80.94266200065613,,-1
19,1,2025-08-28 17:51:56,"[[0.241747320602609,0.2039818857848505,0.45336089246430605,0.26926274610766354,0.16801725399128936,0.07508984669135355,0.024497563273530365,0.04757174734675754,-0.10107907200835134,-0.06923444635956012],[0.2039818857848505,0.16997842654020323,0.3656014580607474,0.21123177071993793,0.1403783586254947,0.030196847224805035,0.0012452657242553178,0.03056158508493185,-0.10256006466713886,-0.07499133543243737],[0.45336089246430605,0.3656014580607474,0.7894370157270254,0.4074725606336335,0.3356385153768274,-0.09281331846277557,-0.10370603374810677,0.003406154828191177,-0.3321566768215693,-0.2699052978390961],[0.26926274610766354,0.21123177071993793,0.4074725606336335,0.12975980062312267,0.22855868887950634,-0.3319234712379384,-0.23760895787857725,-0.08999675862471361,-0.36420044535923746,-0.3241250720315165],[0.16801725399128936,0.1403783586254947,0.3356385153768274,0.22855868887950634,0.10539204226953465,0.15352987113669322,0.08205930824104968,0.06448994455725504,-0.0076370512015952186,0.012933845733690302],[0.07508984669135355,0.030196847224805035,-0.09281331846277557,-0.3319234712379384,0.15352987113669322,-1.0,-0.6389252308022796,-0.3299186873573432,-0.6456840866353908,-0.6239825476087768],[0.024497563273530365,0.0012452657242553178,-0.10370603374810677,-0.23760895787857725,0.08205930824104968,-0.6389252308022796,-0.4096826390509064,-0.2136570917364159,-0.40226071758090587,-0.3914047877888913],[0.04757174734675754,0.03056158508493185,0.003406154828191177,-0.08999675862471361,0.06448994455725504,-0.3299186873573432,-0.2136570917364159,-0.10474377733070951,-0.22703763235145613,-0.21633119548700547],[-0.10107907200835134,-0.10256006466713886,-0.3321566768215693,-0.36420044535923746,-0.0076370512015952186,-0.6456840866353908,-0.40226071758090587,-0.22703763235145613,-0.32954152575234513,-0.33589911002015216],[-0.06923444635956012,-0.07499133543243737,-0.2699052978390961,-0.3241250720315165,0.012933845733690302,-0.6239825476087768,-0.3914047877888913,-0.21633119548700547,-0.33589911002015216,-0.3380424480383138]]",10,Random,10,-1.0,-1.0,-1.0,-,-5.408168896534116,"[-1.,-1.,-1.,1.,-1.,1.,1.,1.,1.,1.]",-1,0.4782259464263916,MA-ALT,,,-5.408168896534116,"[-1,-1,-1,1,-1,1,1,1,1,1]",4,4,4,-1.0,1000,129.16865491867063,,-1
20,1,2025-08-28 17:53:13,"[[-0.009991769008503123,-0.010979703569082382,-0.00041245333281568833,-0.027281249543628865,-0.017659493372387536,0.010035659050456114,0.01272795105074323,-0.08627084589617753,-0.05798426471169031,-0.014822442961243937],[-0.010979703569082382,0.024938987751347026,0.08861007144863453,-0.05086414071680743,-0.0386745630362249,0.06927070318351503,0.17177296654785562,-0.26318271904990437,-0.10267409591253127,0.048988705824905505],[-0.00041245333281568833,0.08861007144863453,0.1917307381052384,-0.04846664047262572,-0.022716291817717955,0.13599714456725248,0.32519589153719985,-0.3500592158217755,-0.10657631315946259,0.10836896653038071],[-0.027281249543628865,-0.05086414071680743,-0.04846664047262572,-0.041638359582085484,-0.029741913312248194,0.00448949623961066,-0.028499053308733785,-0.1281068581222282,-0.11393001587863932,-0.06723418710436299],[-0.017659493372387536,-0.0386745630362249,-0.022716291817717955,-0.029741913312248194,-0.04013629424352196,0.003044964385386442,-0.005987320676730579,-0.08972949389236878,-0.060617102358835454,-0.016080263213480925],[0.010035659050456114,0.06927070318351503,0.13599714456725248,0.00448949623961066,0.003044964385386442,0.08513380790260894,0.22001288458643606,-0.1471135728341716,-0.0008715805160388751,0.10080309733430905],[0.01272795105074323,0.17177296654785562,0.32519589153719985,-0.028499053308733785,-0.005987320676730579,0.22001288458643606,0.5599032716641803,-0.47106805460607104,-0.0826106179450648,0.21082126048484404],[-0.08627084589617753,-0.26318271904990437,-0.3500592158217755,-0.1281068581222282,-0.08972949389236878,-0.1471135728341716,-0.47106805460607104,-0.10940810562045337,-0.309645569352359,-0.3363545663402627],[-0.05798426471169031,-0.10267409591253127,-0.10657631315946259,-0.11393001587863932,-0.060617102358835454,-0.0008715805160388751,-0.0826106179450648,-0.309645569352359,-0.28303069154994076,-0.16593803439703822],[-0.014822442961243937,0.048988705824905505,0.10836896653038071,-0.06723418710436299,-0.016080263213480925,0.10080309733430905,0.21082126048484404,-0.3363545663402627,-0.16593803439703822,0.014040905744034922]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.059164391919352,"[1.,1.,1.,1.,1.,-1.,-1.,1.,1.,1.]",-1,0.4853310585021972,MA-ALT,,,-2.059164391919352,"[1,1,1,1,1,-1,-1,1,1,1]",14,14,14,-1.0,1000,76.69938254356384,,-1
21,1,2025-08-28 17:53:28,"[[-0.15184510676738674,-0.3666214359366079,-0.13441426650113458,-0.07024070915597948,-0.22292405110689734,-0.12709322786203756,-0.12240179226537379,-0.20181334993060132,-0.25170938083726574,-0.21158991572022676],[-0.3666214359366079,0.7840850571659248,0.1708121062721007,0.12366788921238742,0.13067148113830118,0.09757045225666361,-0.012212673911169883,-0.15932464033083757,-0.35670958148272713,0.2052225237497367],[-0.13441426650113458,0.1708121062721007,0.059066323155459316,0.04349185333370421,0.001506557976578369,-0.0036855302801283066,-0.026141289159687338,-0.09757930424153476,-0.13130551577823807,0.03096456931037124],[-0.07024070915597948,0.12366788921238742,0.04349185333370421,0.027067654636189233,0.014072487772845232,0.005983839881147385,-0.011030288634234213,-0.04771598601440981,-0.05981741763938495,0.038176089956367],[-0.22292405110689734,0.13067148113830118,0.001506557976578369,0.014072487772845232,-0.060593023809185645,-0.024555103076559143,-0.06571674721051696,-0.1649904957049446,-0.27110854597419753,-0.024688326932473748],[-0.12709322786203756,0.09757045225666361,-0.0036855302801283066,0.005983839881147385,-0.024555103076559143,-0.0040180420843830954,-0.03242328964572374,-0.08240929034390856,-0.15652911907212289,-0.007528898554194226],[-0.12240179226537379,-0.012212673911169883,-0.026141289159687338,-0.011030288634234213,-0.06571674721051696,-0.03242328964572374,-0.0541443387730312,-0.10812651206448853,-0.15676742415687345,-0.041661658461612516],[-0.20181334993060132,-0.15932464033083757,-0.09757930424153476,-0.04771598601440981,-0.1649904957049446,-0.08240929034390856,-0.10812651206448853,-0.195397530375345,-0.2914869041993452,-0.13999569597608064],[-0.25170938083726574,-0.35670958148272713,-0.13130551577823807,-0.05981741763938495,-0.27110854597419753,-0.15652911907212289,-0.15676742415687345,-0.2914869041993452,-0.37841124605157794,-0.24939148009675663],[-0.21158991572022676,0.2052225237497367,0.03096456931037124,0.038176089956367,-0.024688326932473748,-0.007528898554194226,-0.041661658461612516,-0.13999569597608064,-0.24939148009675663,-0.002705209886291302]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.8965200132967706,"[1.,-1.,1.,1.,1.,1.,1.,1.,1.,1.]",-1,0.4804556369781494,MA-ALT,,,-2.8965200132967706,"[1,-1,1,1,1,1,1,1,1,1]",2,2,2,-1.0,1000,14.913174629211426,,-1
