Id (int),Valid (int),Updated (str),Matrix (mat),Size (int),Type (str),Rank (int),Density (flt),Stiffness (flt),Other (flt),Test_solver (str),Test (flt),Test_state (vec),Test_iterations (int),Test_time (flt),Train_solver (str),Preprocessing (str),Postprocessing (str),Train (flt),Train_state (vec),Train_iterations_1 (int),Train_iterations_2 (int),Train_iterations_3 (int),Train_cost (flt),Train_shots (int),Train_time (flt),Flags (str)
10,1,2025-08-20 23:29:50,"[[-0.2744988691848803,-0.20017885451070186,-0.4124167629707883,-0.36384761287141076,-0.3867308634492563,-0.12415123716496311,-0.019919185890839193,-0.5060770422554911,-0.21046677659562968,-0.46760263162339893],[-0.20017885451070186,-0.10600192190566685,-0.1297621711503133,-0.14376926492609413,-0.13485938464903138,0.030034988703970797,0.019946434744260354,-0.2842106774663145,-0.06868932300818696,-0.14974233354194755],[-0.4124167629707883,-0.1297621711503133,0.0842958861766391,-0.041809654790357274,0.0246969367685234,0.30784650520069096,0.11427778564163153,-0.40648020091554515,0.03728438938204883,0.08859343396166203],[-0.36384761287141076,-0.14376926492609413,-0.041809654790357274,-0.12098441123536918,-0.07794637662098318,0.19019401019820611,0.07683159901852812,-0.417621362073752,-0.026321720571144826,-0.0533370548807481],[-0.3867308634492563,-0.13485938464903138,0.0246969367685234,-0.07794637662098318,-0.023233135887029476,0.25047344335236266,0.09630251437163095,-0.40824975010660614,0.007647408104148142,0.021833094225220458],[-0.12415123716496311,0.030034988703970797,0.30784650520069096,0.19019401019820611,0.25047344335236266,0.2907544107182948,0.0924827479833045,0.020045263107036054,0.15337734608375123,0.3444117638745434],[-0.019919185890839193,0.019946434744260354,0.11427778564163153,0.07683159901852812,0.09630251437163095,0.0924827479833045,0.027928275532676055,0.03549300352408333,0.05679607833661845,0.12787199957468093],[-0.5060770422554911,-0.2842106774663145,-0.40648020091554515,-0.417621362073752,-0.40824975010660614,0.020045263107036054,0.03549300352408333,-0.7556931647734801,-0.21110464065997114,-0.46525815421744526],[-0.21046677659562968,-0.06868932300818696,0.03728438938204883,-0.026321720571144826,0.007647408104148142,0.15337734608375123,0.05679607833661845,-0.21110464065997114,0.015406634038608216,0.03804820626982698],[-0.46760263162339893,-0.14974233354194755,0.08859343396166203,-0.0533370548807481,0.021833094225220458,0.3444117638745434,0.12787199957468093,-0.46525815421744526,0.03804820626982698,0.09183440337740703]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.806252440433826,"[1.,1.,1.,1.,1.,-1.,-1.,1.,1.,1.]",-1,0.2266221046447754,-,-,-,-4.008506353807376,"[1,1,-1,1,1,-1,1,1,1,-1]",-1,-1,-1,-1.0,-1,1714.449298620224,
11,1,2025-08-20 23:15:21,"[[-0.6139251737646224,-0.5366627684538917,-0.20452266392531177,-0.3115191611351606,-0.22422972291664195,-0.24356335380670982,-0.27379173734373125,-0.4172209262716809,-0.3721506508665966,-0.09690264767174858],[-0.5366627684538917,-0.11658381984335832,0.1713133161966548,-0.3861090803149804,-0.0700501325192263,0.04568095979916586,0.019225870343971246,-0.05685961169448225,-0.32091372253041095,0.14427620381939432],[-0.20452266392531177,0.1713133161966548,0.2852105307405663,-0.22383505321125866,0.04877975571738604,0.17738897337605586,0.167419657916781,0.17386955301817472,-0.12480962278759838,0.19865739281440675],[-0.3115191611351606,-0.3861090803149804,-0.22383505321125866,-0.12286273183763019,-0.15780293320772976,-0.2104583681162768,-0.22809638328779686,-0.30761119380335006,-0.18598510230807738,-0.1297395852044],[-0.22422972291664195,-0.0700501325192263,0.04877975571738604,-0.15780293320772976,-0.03909874519933155,0.0025914711076889183,-0.010502017585341795,-0.037822273514524996,-0.13384685767222074,0.04435518269565643],[-0.24356335380670982,0.04568095979916586,0.17738897337605586,-0.2104583681162768,0.0025914711076889183,0.09379393478064858,0.07947078525308464,0.06447088643114972,-0.1461523701683174,0.1302326974370112],[-0.27379173734373125,0.019225870343971246,0.167419657916781,-0.22809638328779686,-0.010502017585341795,0.07947078525308464,0.0694577235613415,0.0460996148200579,-0.16597737526695008,0.12513002364105724],[-0.4172209262716809,-0.05685961169448225,0.17386955301817472,-0.30761119380335006,-0.037822273514524996,0.06447088643114972,0.0460996148200579,-0.02075613328164621,-0.2528804864531039,0.14128350777630397],[-0.3721506508665966,-0.32091372253041095,-0.12480962278759838,-0.18598510230807738,-0.13384685767222074,-0.1461523701683174,-0.16597737526695008,-0.2528804864531039,-0.22127577600473877,-0.05972889869765385],[-0.09690264767174858,0.14427620381939432,0.19865739281440675,-0.1297395852044,0.04435518269565643,0.1302326974370112,0.12513002364105724,0.14128350777630397,-0.05972889869765385,0.13523040356526247]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.113214843313083,"[1.,1.,-1.,1.,1.,1.,1.,1.,1.,-1.]",-1,0.2296168804168701,-,-,-,-4.113214843313083,"[1,1,-1,1,1,-1,1,1,1,-1]",20,-1,-1,-1.0,-1,845.6981217861176,
12,1,2025-08-20 23:29:48,"[[0.21476083226014045,0.010430541603690398,0.1558994935081062,-0.09116641325535041,0.2727753352875665,0.13183101039259482,-0.016924994194714264,-0.23781178179647938,0.13473657199343048,0.4783735967942181],[0.010430541603690398,-0.03421024447250804,0.058925730010971844,-0.05219564883424023,0.06001816600893594,0.022657420841606126,-0.032546826275530766,-0.1937071320168942,-0.00104453358518947,0.08895538171475548],[0.1558994935081062,0.058925730010971844,0.03605329800065883,0.004635879861633897,0.1265889991358938,0.07266203840212156,0.035122871911364914,0.09872403141619497,0.10778461806041863,0.24606492274508604],[-0.09116641325535041,-0.05219564883424023,0.004635879861633897,-0.027128368320400588,-0.05088425149157561,-0.03374155694414219,-0.036281882914552935,-0.14906357893908662,-0.06727201102573777,-0.11208244707551154],[0.2727753352875665,0.06001816600893594,0.1265889991358938,-0.05088425149157561,0.2798195174242037,0.1467950459405145,0.02236206123089686,-0.05108380938014945,0.17968103103702712,0.5124514130485762],[0.13183101039259482,0.022657420841606126,0.07266203840212156,-0.03374155694414219,0.1467950459405145,0.07291154593720751,0.0034286307851596996,-0.06504518889663671,0.08664429727429043,0.26596971911712186],[-0.016924994194714264,-0.032546826275530766,0.035122871911364914,-0.036281882914552935,0.02236206123089686,0.0034286307851596996,-0.02578322635555356,-0.14436049576364646,-0.0169825076752697,0.021601760096844863],[-0.23781178179647938,-0.1937071320168942,0.09872403141619497,-0.14906357893908662,-0.05108380938014945,-0.06504518889663671,-0.14436049576364646,-0.685852812810079,-0.18539585096680075,-0.18072244378077573],[0.13473657199343048,-0.00104453358518947,0.10778461806041863,-0.06727201102573777,0.17968103103702712,0.08664429727429043,-0.0169825076752697,-0.18539585096680075,0.08237394048965119,0.31152490143691636],[0.4783735967942181,0.08895538171475548,0.24606492274508604,-0.11208244707551154,0.5124514130485762,0.26596971911712186,0.021601760096844863,-0.18072244378077573,0.31152490143691636,0.9326453430793701]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.013486968269833,"[1.,1.,-1.,1.,-1.,-1.,1.,1.,1.,-1.]",-1,0.22475266456604,-,-,-,-1.690623375742308,"[-1,-1,-1,1,-1,-1,-1,1,-1,-1]",-1,-1,-1,-1.0,-1,1712.412514448166,
13,1,2025-08-20 23:30:23,"[[0.02831931420387784,0.03506495546596825,0.09934794294118388,0.042314756467124674,0.045159318788448144,-0.0023905975332959087,0.04860200362157287,0.12379532322420567,0.0697051899629749,0.042349426226520444],[0.03506495546596825,0.007725923794456854,-0.011674925956467578,0.025222383726806605,-0.041027840673344126,-0.12895582844947867,-0.029862132766137986,0.042631670757721445,-0.04215084733926003,0.08371597335860954],[0.09934794294118388,-0.011674925956467578,-0.1995552734159574,0.04528421578953065,-0.2492042886456889,-0.5542924085296539,-0.19063999525346165,0.023298316483547202,-0.2826602357329615,0.2951425805509806],[0.042314756467124674,0.025222383726806605,0.04528421578953065,0.0464172543785514,-0.0147698911369585,-0.11050597562358407,0.0022542762630040417,0.10775819905530551,0.001738262991424891,0.09245134700247395],[0.045159318788448144,-0.041027840673344126,-0.2492042886456889,-0.0147698911369585,-0.2219097353441846,-0.40588462120820984,-0.18697514321025238,-0.10993478648959358,-0.27573520401609847,0.17356860176693517],[-0.0023905975332959087,-0.12895582844947867,-0.5542924085296539,-0.11050597562358407,-0.40588462120820984,-0.5573540704528359,-0.35695238274732277,-0.40475316004789974,-0.5272085279297949,0.14706289650180865],[0.04860200362157287,-0.029862132766137986,-0.19063999525346165,0.0022542762630040417,-0.18697514321025238,-0.35695238274732277,-0.1546894972028793,-0.0654074108701995,-0.22587792322865993,0.16516308873970295],[0.12379532322420567,0.042631670757721445,0.023298316483547202,0.10775819905530551,-0.10993478648959358,-0.40475316004789974,-0.0654074108701995,0.2141472660589567,-0.0922832960653091,0.285877525713991],[0.0697051899629749,-0.04215084733926003,-0.2826602357329615,0.001738262991424891,-0.27573520401609847,-0.5272085279297949,-0.22587792322865993,-0.0922832960653091,-0.3324640513957061,0.24273893656146664],[0.042349426226520444,0.08371597335860954,0.2951425805509806,0.09245134700247395,0.17356860176693517,0.14706289650180865,0.16516308873970295,0.285877525713991,0.24273893656146664,0.021404828597093344]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.933386122829863,"[-1.,1.,1.,-1.,1.,1.,1.,1.,1.,-1.]",-1,0.2269978523254394,-,-,-,-3.933386122829863,"[-1,1,1,-1,1,1,1,1,1,-1]",-1,51,-1,-1.0,-1,1747.8008289337158,
14,1,2025-08-20 23:05:28,"[[-0.2313622839363859,-0.016487443479771692,-0.021330398676795627,-0.07946353851162655,-0.5874834659840261,0.020777436094676974,0.09885315895291052,-0.0220969787963785,-0.07346059995561205,-0.12117454209582218],[-0.016487443479771692,-0.0016875109797250827,-0.0031429395092484715,-0.00934970627291257,-0.08587654865476652,0.008807582390844651,0.024278445695170084,0.005539951473893266,-0.004407193031323171,-0.011001325717924636],[-0.021330398676795627,-0.0031429395092484715,-0.00239692523117768,-0.003381076612468644,-0.14129889501537002,0.012047823514055022,0.04557071230294615,0.01119676923998124,-0.0009258371400135642,-0.010386874653586415],[-0.07946353851162655,-0.00934970627291257,-0.003381076612468644,0.008125056497637517,-0.4778291686502107,0.03854398416069269,0.14141456945880984,0.02464690192220324,-0.015710774676765234,-0.03496071077195064],[-0.5874834659840261,-0.08587654865476652,-0.14129889501537002,-0.4778291686502107,-0.9805353877692707,-0.019976486833721094,0.006552624673268559,-0.2629220270658933,-0.4034198838689112,-0.5285622296061894],[0.020777436094676974,0.008807582390844651,0.012047823514055022,0.03854398416069269,-0.019976486833721094,0.012140939033805252,0.026218177657590082,0.036743213007641426,0.038685057245867946,0.04164255288847254],[0.09885315895291052,0.024278445695170084,0.04557071230294615,0.14141456945880984,0.006552624673268559,0.026218177657590082,0.07937513179367083,0.10045759693368174,0.1243794428441912,0.1386622292577741],[-0.0220969787963785,0.005539951473893266,0.01119676923998124,0.02464690192220324,-0.2629220270658933,0.036743213007641426,0.10045759693368174,0.05066013082731458,0.030988835028827506,0.016068447529947343],[-0.07346059995561205,-0.004407193031323171,-0.0009258371400135642,-0.015710774676765234,-0.4034198838689112,0.038685057245867946,0.1243794428441912,0.030988835028827506,-0.003209786304640137,-0.032685798401398555],[-0.12117454209582218,-0.011001325717924636,-0.010386874653586415,-0.03496071077195064,-0.5285622296061894,0.04164255288847254,0.1386622292577741,0.016068447529947343,-0.032685798401398555,-0.06744650465860293]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.694944639622385,"[1.,1.,1.,1.,1.,-1.,-1.,1.,1.,1.]",-1,0.227247953414917,-,-,-,-2.694944639622385,"[1,-1,-1,1,1,1,-1,1,1,1]",6,-1,-1,-1.0,-1,252.381373167038,
15,1,2025-08-20 23:29:26,"[[0.0491065801910114,0.021483355856311497,-0.0017454636880094888,-0.021187275721707324,0.04915714359146703,-0.03964948186705228,0.015275625972642468,0.05778290015654127,-0.19147707310845966,-0.03995530529274115],[0.021483355856311497,-0.032740537721357786,-0.055196837683954565,-0.11258365874646398,-0.03930037973062682,-0.09307367787888386,-0.07332603194350558,0.06169216059489346,-0.343462230820038,-0.07807918583445081],[-0.0017454636880094888,-0.055196837683954565,-0.06847215110402155,-0.12746058299342033,-0.0719202146982276,-0.09468489404584421,-0.09094693509080538,0.04288332413710954,-0.3010026029448271,-0.06421108693997193],[-0.021187275721707324,-0.11258365874646398,-0.12746058299342033,-0.23466868923812106,-0.15589811614962393,-0.16434847601441005,-0.17583947183169243,0.05774891702758789,-0.49329621245702476,-0.10366554183428509],[0.04915714359146703,-0.03930037973062682,-0.0719202146982276,-0.15589811614962393,-0.02049313946514928,-0.14523671769040875,-0.07237997983965712,0.10168064108460052,-0.5068465103762994,-0.1012915004994214],[-0.03964948186705228,-0.09307367787888386,-0.09468489404584421,-0.16434847601441005,-0.14523671769040875,-0.09929709696627714,-0.146690933839749,0.015574005978080653,-0.28401511553850123,-0.06429380526872858],[0.015275625972642468,-0.07332603194350558,-0.09094693509080538,-0.17583947183169243,-0.07237997983965712,-0.146690933839749,-0.12867155569729932,0.09139075971260341,-0.528371521645457,-0.11862580755525931],[0.05778290015654127,0.06169216059489346,0.04288332413710954,0.05774891702758789,0.10168064108460052,0.015574005978080653,0.09139075971260341,0.022637125491130592,0.02607350846144934,0.017127165798733492],[-0.19147707310845966,-0.343462230820038,-0.3010026029448271,-0.49329621245702476,-0.5068465103762994,-0.28401511553850123,-0.528371521645457,0.02607350846144934,-0.841790529282669,-0.2169812372673893],[-0.03995530529274115,-0.07807918583445081,-0.06421108693997193,-0.10366554183428509,-0.1012915004994214,-0.06429380526872858,-0.11862580755525931,0.017127165798733492,-0.2169812372673893,-0.05669357310094883]]",10,Random,10,-1.0,-1.0,-1.0,-,-4.2554236062692485,"[1.,1.,1.,1.,1.,1.,1.,-1.,1.,1.]",-1,0.2281515598297119,-,-,-,-3.232219192158143,"[-1,1,-1,1,1,1,1,-1,1,1]",-1,-1,-1,-1.0,-1,1690.3145143985748,
16,1,2025-08-20 23:15:09,"[[-0.31736387534292587,-0.07690709228807245,0.1664389161683627,-0.15636293452690642,-0.21227620354583634,0.016561243849907925,-0.3724515991898105,-0.1813641925979947,-0.21000792595887396,-0.5736642998373147],[-0.07690709228807245,0.0006015361924118724,0.15874488174250942,-0.055062933015553074,-0.003588674288562052,0.08147368646858306,-0.09189980840861722,-0.04732450604834719,-0.013996084970457276,-0.18321678133105807],[0.1664389161683627,0.15874488174250942,0.746848799019799,-0.04941887850883857,0.4285666610313386,0.5228605588894664,0.17301018452033728,0.049570618961272725,0.3568951321666887,-0.03419130050970837],[-0.15636293452690642,-0.055062933015553074,-0.04941887850883857,-0.055984693755349896,-0.15304579251531716,-0.07452648616916556,-0.17922319765360722,-0.08121478661456509,-0.1407812430365476,-0.22703043383479063],[-0.21227620354583634,-0.003588674288562052,0.4285666610313386,-0.15304579251531716,-0.018050505562595135,0.21573963096878934,-0.25693869609852377,-0.13488561069543567,-0.044554619628029105,-0.50788769587488],[0.016561243849907925,0.08147368646858306,0.5228605588894664,-0.07452648616916556,0.21573963096878934,0.3392675708700837,0.007667853028598515,-0.017638689537349928,0.1702311569745568,-0.17940027504365116],[-0.3724515991898105,-0.09189980840861722,0.17301018452033728,-0.17922319765360722,-0.25693869609852377,0.007667853028598515,-0.4368035899433875,-0.2094039781589782,-0.2521530250629377,-0.6641434206508282],[-0.1813641925979947,-0.04732450604834719,0.049570618961272725,-0.08121478661456509,-0.13488561069543567,-0.017638689537349928,-0.2094039781589782,-0.09895928653976344,-0.13016602981172154,-0.30310615038144845],[-0.21000792595887396,-0.013996084970457276,0.3568951321666887,-0.1407812430365476,-0.044554619628029105,0.1702311569745568,-0.2521530250629377,-0.13016602981172154,-0.06502464308513457,-0.47738834287964843],[-0.5736642998373147,-0.18321678133105807,-0.03419130050970837,-0.22703043383479063,-0.50788769587488,-0.17940027504365116,-0.6641434206508282,-0.30310615038144845,-0.47738834287964843,-0.9016472993524173]]",10,Random,10,-1.0,-1.0,-1.0,-,-5.698017949748683,"[1.,1.,-1.,1.,1.,-1.,1.,1.,1.,1.]",-1,0.2286934852600097,-,-,-,-5.698017949748683,"[1,1,-1,1,1,-1,1,1,1,1]",21,-1,-1,-1.0,-1,833.6562554836273,
17,1,2025-08-20 23:22:10,"[[0.41108483711892685,-0.08826137904875975,0.09614480811264961,0.057348499341286954,0.5428184973480367,0.256948517566334,0.24934532809614926,-0.13356225757198478,0.09491175108387342,0.25736242668470033],[-0.08826137904875975,-0.17170039257841418,0.01653531931341371,-0.15827120218010454,-0.413864814203184,-0.20296631765892598,-0.20126398822262093,-0.16474919342608665,-0.2699150219448555,-0.06420080934363576],[0.09614480811264961,0.01653531931341371,0.016418474228411965,0.03959539352585158,0.1821634512651079,0.08736700444194767,0.08464055995944084,0.006016353971285738,0.067895789892243,0.06040025043296482],[0.057348499341286954,-0.15827120218010454,0.03959539352585158,-0.09956369673985366,-0.14961590778855124,-0.06934279948272393,-0.07843604220017153,-0.16786568742333857,-0.17627322460601863,0.02736420747228318],[0.5428184973480367,-0.413864814203184,0.1821634512651079,-0.14961590778855124,0.24914095643986867,0.11771047712632882,0.09358480815925432,-0.4805843611426638,-0.2667741599145876,0.3215573703233299],[0.256948517566334,-0.20296631765892598,0.08736700444194767,-0.06934279948272393,0.11771047712632882,0.05691897815347399,0.04559493267784105,-0.2309711226812864,-0.1295263161588928,0.15486227025666452],[0.24934532809614926,-0.20126398822262093,0.08464055995944084,-0.07843604220017153,0.09358480815925432,0.04559493267784105,0.03178469557987659,-0.2346029422087967,-0.1383693305200666,0.14533299210718742],[-0.13356225757198478,-0.16474919342608665,0.006016353971285738,-0.16786568742333857,-0.4805843611426638,-0.2309711226812864,-0.2346029422087967,-0.15646353899452736,-0.28662629588776156,-0.09694973953632055],[0.09491175108387342,-0.2699150219448555,0.067895789892243,-0.17627322460601863,-0.2667741599145876,-0.1295263161588928,-0.1383693305200666,-0.28662629588776156,-0.3050625958880464,0.04586255715713729],[0.25736242668470033,-0.06420080934363576,0.06040025043296482,0.02736420747228318,0.3215573703233299,0.15486227025666452,0.14533299210718742,-0.09694973953632055,0.04586255715713729,0.15714226804208553]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.520118966332468,"[-1.,1.,-1.,1.,1.,1.,1.,1.,1.,-1.]",-1,0.2249069213867187,-,-,-,-3.520118966332468,"[-1,1,1,1,1,1,1,1,1,-1]",34,-1,-1,-1.0,-1,1254.4684836864471,
18,1,2025-08-20 23:30:12,"[[0.10882091917312482,-0.018963109811445986,0.11816652068292605,0.0939821933384829,0.005614134208218331,0.08327117743284872,0.1790427075694811,0.08881839070897626,0.14993159613400836,0.14292669111253464],[-0.018963109811445986,-0.43430728282907133,-0.3368884485781116,-0.4214592403238801,-0.0798779813822972,-0.0320391172400918,-0.5955405589044616,-0.29803672732231157,-0.003594382945122543,-0.17792871737601562],[0.11816652068292605,-0.3368884485781116,-0.08896528408512681,-0.1858844438184857,-0.04477167762159206,0.08646788003983025,-0.21518869621798603,-0.10342764433809998,0.1852276222815547,0.051677334745689626],[0.0939821933384829,-0.4214592403238801,-0.1858844438184857,-0.29533224541148734,-0.06322098373174273,0.062041500770540915,-0.36982494140090083,-0.18339754472656283,0.15550124314893132,-0.02212484344470915],[0.005614134208218331,-0.0798779813822972,-0.04477167762159206,-0.06322098373174273,-0.011706071683455561,0.003961250106582626,-0.09280711747453793,-0.04446547163284697,0.01435289019948047,-0.014284224708888097],[0.08327117743284872,-0.0320391172400918,0.08646788003983025,0.062041500770540915,0.003961250106582626,0.06316749131366826,0.10906935767463659,0.05828583058006305,0.11620476441881797,0.10959645855345775],[0.1790427075694811,-0.5955405589044616,-0.21518869621798603,-0.36982494140090083,-0.09280711747453793,0.10906935767463659,-0.43958892415383843,-0.22060522624380852,0.2729646713557944,0.030474473984315464],[0.08881839070897626,-0.29803672732231157,-0.10342764433809998,-0.18339754472656283,-0.04446547163284697,0.05828583058006305,-0.22060522624380852,-0.10856473472230922,0.1374694323100845,0.02070199053249628],[0.14993159613400836,-0.003594382945122543,0.1852276222815547,0.15550124314893132,0.01435289019948047,0.11620476441881797,0.2729646713557944,0.1374694323100845,0.20816332721792075,0.2063921707740523],[0.14292669111253464,-0.17792871737601562,0.051677334745689626,-0.02212484344470915,-0.014284224708888097,0.10959645855345775,0.030474473984315464,0.02070199053249628,0.2063921707740523,0.1328892013986483]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.512765255637552,"[-1.,1.,1.,1.,1.,-1.,1.,1.,-1.,1.]",-1,0.2255797386169433,-,-,-,-2.6337990377664027,"[-1,1,-1,1,1,-1,1,1,-1,-1]",-1,-1,-1,-1.0,-1,1736.409113407135,
19,1,2025-08-20 23:21:38,"[[0.20279825027831222,0.19477244657926715,0.14594259352687866,-0.005870733279009915,0.05722946992394272,0.18791427695124222,0.2244635495607772,-0.041431913612705956,0.12992360577871306,0.13971436970708842],[0.19477244657926715,0.18552844418839518,0.133291861896231,-0.04350449328257455,0.05348497969807286,0.16549267703685355,0.18031299529482986,-0.053753091906080394,0.11341029286313693,0.11726398304974418],[0.14594259352687866,0.133291861896231,0.0865406655760306,-0.11107327702188573,0.03753477393616044,0.09220461142289635,0.0595741945526959,-0.07041088545338411,0.06315326722483879,0.05239777532759557],[-0.005870733279009915,-0.04350449328257455,-0.11107327702188573,-0.6298485886050947,-0.020413023074873318,-0.25507712479760597,-0.5978521711437501,-0.237109905317946,-0.1828652488305586,-0.2798642831488967],[0.05722946992394272,0.05348497969807286,0.03753477393616044,-0.020413023074873318,0.014915811291557867,0.045385604738138595,0.04496241163572283,-0.018790515960148857,0.030824580628974516,0.030654441213826038],[0.18791427695124222,0.16549267703685355,0.09220461142289635,-0.25507712479760597,0.045385604738138595,0.0745442429654651,-0.02687698715027978,-0.13269832211918745,0.04896133984395243,0.019137428293313656],[0.2244635495607772,0.18031299529482986,0.0595741945526959,-0.5978521711437501,0.04496241163572283,-0.02687698715027978,-0.30716938505604907,-0.26862830293486734,-0.02570686846639133,-0.10512467444165953],[-0.041431913612705956,-0.053753091906080394,-0.07041088545338411,-0.237109905317946,-0.018790515960148857,-0.13269832211918745,-0.26862830293486734,-0.08154095005784473,-0.09480887265869371,-0.1327215980970516],[0.12992360577871306,0.11341029286313693,0.06315326722483879,-0.1828652488305586,0.030824580628974516,0.04896133984395243,-0.02570686846639133,-0.09480887265869371,0.032453642859130126,0.010058089599875822],[0.13971436970708842,0.11726398304974418,0.05239777532759557,-0.2798642831488967,0.030654441213826038,0.019137428293313656,-0.10512467444165953,-0.1327215980970516,0.010058089599875822,-0.025610622725888633]]",10,Random,10,-1.0,-1.0,-1.0,-,-2.5362870412551954,"[-1.,-1.,-1.,1.,-1.,1.,1.,1.,1.,1.]",-1,0.2260913848876953,-,-,-,-2.5362870412551954,"[-1,-1,1,1,-1,1,1,1,1,-1]",33,-1,-1,-1.0,-1,1221.908813238144,
20,1,2025-08-20 23:20:31,"[[-0.06254376687957629,-0.06757315626797643,-0.162065220428527,-0.005654208077114649,-0.14496639829640126,-0.10955000422193492,-0.11363849103186555,-0.08180552186088323,-0.05240610904078124,-0.02029082702916725],[-0.06757315626797643,-0.04935450569247984,-0.1221276453053117,-0.05378995130186984,-0.2395282627524486,-0.07758784068184588,-0.12253053824680094,-0.16593493899959985,-0.0585693007778603,-0.019473219690190783],[-0.162065220428527,-0.1221276453053117,-0.31682061081576207,-0.10389923171033918,-0.5000076774945271,-0.20638430471801408,-0.29017806350634595,-0.34050964028843994,-0.14061691599131934,-0.04798214850599182],[-0.005654208077114649,-0.05378995130186984,-0.10389923171033918,0.08085200242985534,0.13170525673908584,-0.08650272181642638,-0.012780666780267916,0.13035626201170214,0.003596229799452042,-0.004867742803529326],[-0.14496639829640126,-0.2395282627524486,-0.5000076774945271,0.13170525673908584,0.007146954239252848,-0.3859641917723409,-0.2456594371010123,0.1097100335779796,-0.08642350147088979,-0.0538911136652769],[-0.10955000422193492,-0.07758784068184588,-0.20638430471801408,-0.08650272181642638,-0.3859641917723409,-0.1255749715990632,-0.2059994205145682,-0.26839315340983144,-0.10226644439989327,-0.032341528437213385],[-0.11363849103186555,-0.12253053824680094,-0.29017806350634595,-0.012780666780267916,-0.2456594371010123,-0.2059994205145682,-0.20479932454080857,-0.13878101987489477,-0.09239950723183103,-0.035621128965176524],[-0.08180552186088323,-0.16593493899959985,-0.34050964028843994,0.13035626201170214,0.1097100335779796,-0.26839315340983144,-0.13878101987489477,0.16048696869049733,-0.04230257065814018,-0.03267179393135074],[-0.05240610904078124,-0.0585693007778603,-0.14061691599131934,0.003596229799452042,-0.08642350147088979,-0.10226644439989327,-0.09239950723183103,-0.04230257065814018,-0.041561445977677976,-0.017241362599060846],[-0.02029082702916725,-0.019473219690190783,-0.04798214850599182,-0.004867742803529326,-0.0538911136652769,-0.032341528437213385,-0.035621128965176524,-0.03267179393135074,-0.017241362599060846,-0.006802474838529574]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.7151888756684746,"[1.,1.,1.,-1.,1.,1.,1.,1.,1.,1.]",-1,0.2262680530548095,-,-,-,-3.7151888756684746,"[1,1,1,-1,1,1,1,1,1,-1]",30,-1,-1,-1.0,-1,1155.154170513153,
21,1,2025-08-20 23:20:39,"[[-0.23172708943746034,-0.06090738305154651,-0.31993388304590387,-0.4241004228818451,0.0026555546559116072,-0.08292909003584703,-0.29713372592061155,0.3566268012456912,0.0471612220876467,-0.13744138528614042],[-0.06090738305154651,-0.02063278054294349,-0.07129034911182294,-0.0978613695098277,0.0012938258140806755,-0.03201048251521321,-0.06710792146145403,0.08262925569171947,0.012065896481792298,-0.028605572454549363],[-0.31993388304590387,-0.07129034911182294,-0.2554954028955669,-0.2215337809923726,-0.029578533930629577,-0.2841758625147896,-0.18631453586144753,0.14889298341953588,0.007728583462657649,-0.14601116612498552],[-0.4241004228818451,-0.0978613695098277,-0.2215337809923726,-0.07067876682266809,-0.05826310741968964,-0.49642091150250084,-0.10704149641484825,-0.02522444059333042,-0.03189951221141866,-0.1793940250808351],[0.0026555546559116072,0.0012938258140806755,-0.029578533930629577,-0.05826310741968964,0.006015864113073229,0.032654407948279486,-0.035580546840735416,0.05852346119303466,0.0115063183639731,-0.002946443067621634],[-0.08292909003584703,-0.03201048251521321,-0.2841758625147896,-0.49642091150250084,0.032654407948279486,0.13363025501818057,-0.3186415072412523,0.4607599770310311,0.07377684625367006,-0.08143868754228503],[-0.29713372592061155,-0.06710792146145403,-0.18631453586144753,-0.10704149641484825,-0.035580546840735416,-0.3186415072412523,-0.11096393335424537,0.03917190591318981,-0.011717702211181898,-0.13091231491412414],[0.3566268012456912,0.08262925569171947,0.14889298341953588,-0.02522444059333042,0.05852346119303466,0.4607599770310311,0.03917190591318981,0.11309239753404654,0.04691757438017644,0.1560980313283489],[0.0471612220876467,0.012065896481792298,0.007728583462657649,-0.03189951221141866,0.0115063183639731,0.07377684625367006,-0.011717702211181898,0.04691757438017644,0.013159844535852854,0.022713222812423432],[-0.13744138528614042,-0.028605572454549363,-0.14601116612498552,-0.1793940250808351,-0.002946443067621634,-0.08143868754228503,-0.13091231491412414,0.1560980313283489,0.022713222812423432,-0.0585809596612216]]",10,Random,10,-1.0,-1.0,-1.0,-,-3.443331907303883,"[1.,1.,1.,1.,1.,1.,1.,-1.,-1.,1.]",-1,0.2281694412231445,-,-,-,-3.443331907303883,"[1,1,1,1,1,1,-1,-1,-1,1]",30,-1,-1,-1.0,-1,1162.9197821617126,
